,likes,replies,retweets,text,timestamp,user,time_date,date,time,hour,Sentiment,SentimentClass
0,4,0,1,Mwika u repped Dalian city well #DateMyFamilyzambia,2019-01-15 20:27:53,chib_olajuwon,2019-01-15 20:27:53,2019-01-15,20:27:53,20,0.0,Neutral
1,1,0,0,"Alex’s family lol he sells cultures chairs  ,he do business #datemyfamilyZambia",2019-01-15 19:38:34,chrisia45452014,2019-01-15 19:38:34,2019-01-15,19:38:34,19,0.8,Positive
2,0,1,0,Are you the broad from #datemyfamilyZambia ?,2019-01-14 16:44:43,Preshya_Pusha,2019-01-14 16:44:43,2019-01-14,16:44:43,16,0.0625,Positive
3,0,0,0,#DateMyFamilyzambia I just like the food they eat not those bachelors and bachelortes useless,2019-01-13 21:24:30,chiza8605,2019-01-13 21:24:30,2019-01-13,21:24:30,21,-0.5,Negative
4,2,0,1,Yo family 3 was the one! Kristina pick bachelor number 3! #DateMyFamilyZambia,2019-01-12 19:00:18,JohnTembo1982,2019-01-12 19:00:18,2019-01-12,19:00:18,19,0.0,Neutral
5,1,0,1,2 bachelor's down and so far 2 loses these guys ain't on the girls level guys sorry but I don't see it. Na conversation from their peeps is boooring and dry! #DateMyFamilyZambia,2019-01-12 18:48:33,JohnTembo1982,2019-01-12 18:48:33,2019-01-12,18:48:33,18,-0.18777777777777777,Negative
6,1,0,1,"Ati he will give you the attention you haven't gotten till now lol . 
Kristina disqualified bachelor 1's squad in minutes! I stan!  #DateMyFamilyZambia",2019-01-12 18:37:15,JohnTembo1982,2019-01-12 18:37:15,2019-01-12,18:37:15,18,1.0,Positive
7,1,0,0,Everyone on my list watches #DateMyFamilyZambia. I have watched zero episodes and need to catch up. Can I find on pirate sites like TodayTvSeries and tfpdl?,2019-01-12 09:38:16,milton_kesh,2019-01-12 09:38:16,2019-01-12,09:38:16,9,0.0,Neutral
8,3,0,1,"Last night I didn’t hear so I was rewatching the 20year old talk about 1 night stand in her introduction. 
What was my intro for tell us about your self at 20. 
#DatemyfamilyZambia",2019-01-11 14:21:55,Muke_not_mukey,2019-01-11 14:21:55,2019-01-11,14:21:55,14,0.05,Positive
9,1,1,0,Is #DateMyFamilyZambia only in Lusaka?,2019-01-11 05:29:51,chichidarius,2019-01-11 05:29:51,2019-01-11,05:29:51,5,0.0,Neutral
10,1,2,0,#datemyfamilyZambia So the two are dating & wasted people's time pretending as though they were searching? What a show,2019-01-11 05:28:02,Clive_Mbs,2019-01-11 05:28:02,2019-01-11,05:28:02,5,-0.2,Negative
11,1,1,0,@sunshinee_xox I’m packing a bag. It’s Thursday #datemyfamilyzambia,2019-03-13 22:00:39,american_sugah,2019-03-13 22:00:39,2019-03-13,22:00:39,22,0.0,Neutral
12,0,0,0,Is it difficult for Medical students to date in Zambia?#DateMyFamilyZambia,2019-03-12 09:49:57,madammstainless,2019-03-12 09:49:57,2019-03-12,09:49:57,9,-0.25,Negative
13,0,0,0,Just watched #DateMyFamilyZambia and wtf Zambian women are crazy,2019-03-11 17:04:57,WhitneyBisbal,2019-03-11 17:04:57,2019-03-11,17:04:57,17,-0.55,Negative
14,1,0,0,"In the legendary words of that nigga on #DateMyFamilyZambia, ""you're a foreign angel""",2019-03-11 08:05:26,badlydrawndobs,2019-03-11 08:05:26,2019-03-11,08:05:26,8,0.4375,Positive
15,0,0,0,#datemyfamilyZambia hai,2019-03-11 07:50:59,chahcharlie,2019-03-11 07:50:59,2019-03-11,07:50:59,7,0.0,Neutral
16,0,0,0,Ouuutea bane #datemyfamilyZambia https://twitter.com/Duchess_october/status/1104365445816082433 …,2019-03-10 15:52:39,benjaminsiame1,2019-03-10 15:52:39,2019-03-10,15:52:39,15,0.0,Neutral
17,0,1,0,"One person that thinks like I do. On a dating show you cant be bragging about temper, rudeness, sarcasm etc as i usually see on #DateMyFamilyZambia. But this girl went even further overboard.",2019-03-10 15:38:40,Patlups,2019-03-10 15:38:40,2019-03-10,15:38:40,15,-0.16666666666666666,Negative
18,1,0,0,I hope so coz if that was me #DateMyFamilyZambia is getting me new plates lol.,2019-03-10 06:32:55,JohnTembo1982,2019-03-10 06:32:55,2019-03-10,06:32:55,6,0.4681818181818182,Positive
19,3,1,0,"""My names are Prudence Nyendwa, I'm 24. I'm a jovial person, moody. I love having fun. 

My temper just snaps.""

Total rubbish. Why are Zamhians now proud of stupid things? 

#DateMyFamilyZambia #ZambeziMagicTvhttps://twitter.com/Cho_Fave/status/1104074921184059393 …",2019-03-10 00:01:58,Patlups,2019-03-10 00:01:58,2019-03-10,00:01:58,0,0.16000000000000003,Positive
20,3,1,2,"I can’t wait for this 
#DateMyFamilyZambia pic.twitter.com/PN9YZ1fbyN",2019-03-09 10:48:08,Cookie_Lioness,2019-03-09 10:48:08,2019-03-09,10:48:08,10,0.0,Neutral
21,11,0,7,These taxis must only be washed with @WOOLWORTHS_SA water #kurough #CountryDuty #AlexTotalShutdown #danieldrive #datemyfamilyZambia #GiyaniSABC2pic.twitter.com/YSE8ybuB5v,2019-04-03 18:03:22,Seekers0fLand,2019-04-03 18:03:22,2019-04-03,18:03:22,18,0.0,Neutral
22,18,0,10,These taxis must only be washed with @WOOLWORTHS_SA water #kurough #CountryDuty #AlexTotalShutdown #danieldrive #datemyfamilyZambia #GiyaniSABC2pic.twitter.com/JIehiZ5K6M,2019-04-03 18:03:11,Seekers0fLand,2019-04-03 18:03:11,2019-04-03,18:03:11,18,0.0,Neutral
23,0,0,0,"Did you watch #datemyfamilyZambia ..
With girls like Prudence in my country, how can I not be guarded",2019-04-03 14:03:07,HumphreyChewe1,2019-04-03 14:03:07,2019-04-03,14:03:07,14,0.4,Positive
24,0,0,0,Hope stole the show!  #datemyfamilyZambia,2019-04-02 21:24:50,shulachanda,2019-04-02 21:24:50,2019-04-02,21:24:50,21,0.0,Neutral
25,0,0,0," I really just want to sleep  But why??  
#datemyfamilyZambia https://twitter.com/MulengaSilfa/status/1111373596192968704 …",2019-04-02 21:24:29,___Mwiche,2019-04-02 21:24:29,2019-04-02,21:24:29,21,0.2,Positive
26,3,2,0, is this the first girl who rejected olanimus on #datemyfamilyZambia pic.twitter.com/cX5FWVPlpv,2019-04-02 10:43:00,TheeFickleOne,2019-04-02 10:43:00,2019-04-02,10:43:00,10,0.25,Positive
27,0,1,0,Maybe @SamsungMobile should endorse me what do you think? #datemyfamilyZambia https://twitter.com/davids5thstone/status/1112396711903809537 …,2019-04-01 10:07:53,Sonkaducci,2019-04-01 10:07:53,2019-04-01,10:07:53,10,0.0,Neutral
28,1,0,0,I really think it should have been titled: #DateMyFamilyLusaka as opposed to #DateMyFamilyZambia.,2019-04-01 09:57:08,byManono,2019-04-01 09:57:08,2019-04-01,09:57:08,9,0.2,Positive
29,4,0,0,"So I'm watching the repeat of #datemyfamilyZambia 
Wow! Just wow! ",2019-03-31 17:30:14,dora_lionsmane,2019-03-31 17:30:14,2019-03-31,17:30:14,17,0.125,Positive
30,0,0,0,#datemyfamilyZambia cast get it right. Ati he should be short. pic.twitter.com/oopUpoc23K,2019-03-30 17:54:24,trend_splash,2019-03-30 17:54:24,2019-03-30,17:54:24,17,0.14285714285714285,Positive
31,5,0,0,We all need Grace (Christ) Olanimas #datemyfamilyzambia pic.twitter.com/nJXaFx6nwy,2019-03-30 15:25:17,TheMambweKing,2019-03-30 15:25:17,2019-03-30,15:25:17,15,0.0,Neutral
32,0,0,0,Okay - Hope on #DateMyFamilyZambia has cracked me UP. ,2019-03-30 06:47:58,SimplyChansa_x,2019-03-30 06:47:58,2019-03-30,06:47:58,6,0.5,Positive
33,0,1,0,Olanimus is a musician guys  #DateMyFamilyZambia,2019-03-30 04:54:26,ngoni_princesss,2019-03-30 04:54:26,2019-03-30,04:54:26,4,0.0,Neutral
34,6,2,0,That nigga on this week’s date my family Zambia just couldn’t eat what he eats and leaves what he doesn’t. Sarcastic and silly diot. #DatemyFamilyZambia.,2019-02-05 20:33:26,Leon_ross93,2019-02-05 20:33:26,2019-02-05,20:33:26,20,-0.2,Negative
35,4,0,0,"Zambians are crafty
#DateMyFamilyZambia pic.twitter.com/b9sKWsBhOP",2019-02-04 18:31:11,Ryvn_6,2019-02-04 18:31:11,2019-02-04,18:31:11,18,0.4,Positive
36,1,0,0,So i caught up with Thursdays #DateMyFamilyZambia  yesturday. Might i just bring to light how much racism and tribalism was the highlight throughout.,2019-02-04 08:14:22,BessyAdnab,2019-02-04 08:14:22,2019-02-04,08:14:22,8,0.30000000000000004,Positive
