,likes,replies,retweets,text,timestamp,user
0,4,0,1,Mwika u repped Dalian city well #DateMyFamilyzambia,2019-01-15 20:27:53,chib_olajuwon
1,1,0,0,"Alex’s family lol he sells cultures chairs  ,he do business #datemyfamilyZambia",2019-01-15 19:38:34,chrisia45452014
2,0,1,0,Are you the broad from #datemyfamilyZambia ?,2019-01-14 16:44:43,Preshya_Pusha
3,0,0,0,#DateMyFamilyzambia I just like the food they eat not those bachelors and bachelortes useless,2019-01-13 21:24:30,chiza8605
4,2,0,1,Yo family 3 was the one! Kristina pick bachelor number 3! #DateMyFamilyZambia,2019-01-12 19:00:18,JohnTembo1982
5,1,0,1,2 bachelor's down and so far 2 loses these guys ain't on the girls level guys sorry but I don't see it. Na conversation from their peeps is boooring and dry! #DateMyFamilyZambia,2019-01-12 18:48:33,JohnTembo1982
6,1,0,1,"Ati he will give you the attention you haven't gotten till now lol . 
Kristina disqualified bachelor 1's squad in minutes! I stan!  #DateMyFamilyZambia",2019-01-12 18:37:15,JohnTembo1982
7,1,0,0,Everyone on my list watches #DateMyFamilyZambia. I have watched zero episodes and need to catch up. Can I find on pirate sites like TodayTvSeries and tfpdl?,2019-01-12 09:38:16,milton_kesh
8,3,0,1,"Last night I didn’t hear so I was rewatching the 20year old talk about 1 night stand in her introduction. 
What was my intro for tell us about your self at 20. 
#DatemyfamilyZambia",2019-01-11 14:21:55,Muke_not_mukey
9,1,1,0,Is #DateMyFamilyZambia only in Lusaka?,2019-01-11 05:29:51,chichidarius
10,1,2,0,#datemyfamilyZambia So the two are dating & wasted people's time pretending as though they were searching? What a show,2019-01-11 05:28:02,Clive_Mbs
11,0,0,0,"My cousin's ex girlfriend is on today's Date My family Zambia looking for a date. lol
#datemyfamilyZambia",2019-02-20 22:40:15,ZambiaPurplista
12,1,0,1,When @TaWongDa said he doesn't drink lol i was in shock until he finished his sentence #DatemyfamilyZambia,2019-02-20 17:54:30,Kondy121
13,1,1,0,This lady came to the office and she says I look like a lady who was on #DateMyFamilyZambia. Just because that girl was apparently 'also a lawyer'. I don't know if I should be offended or not. She is convinced that it was me. That's my Monday.,2019-02-18 13:56:06,SimplyChansa_x
14,5,0,0,#datemyfamilyzambia female best friends huh  no comment,2019-02-18 10:23:23,Mis_H0p3
15,5,0,0,#datemyfamilyzambia finally catching up on last week's episode someone wake me up this week napapata,2019-02-18 10:10:13,Mis_H0p3
16,96,6,28,So when did this happen i swear this nigga is the smartest dude ive seen in this show #datemyfamilyZambia pic.twitter.com/oz5LbnG4KX,2019-02-17 21:15:01,I_A_M_Daniel
17,0,0,0,"Date my family in 8min.
Come we gather here
#datemyfamilyzambia",2019-02-17 16:52:55,Julianaaaa777
18,2,0,0,So #DateMyFamilyZambia contestant for the week is not a tweet but here's what she had to aay pic.twitter.com/57f8TyvhFY,2019-02-17 07:32:00,MwansaChola92
19,2,0,0,"Finally got a chance to watch #datemyfamilyzambia .
K-stars comments ",2019-02-16 18:36:59,OtiliaNgaba
20,1,0,0,#DateMyFamilyZambia Lol this one was funny!,2019-02-16 16:27:58,MwansaChola92
21,1,0,0,#DateMyFamilyZambia okay okay who was that putting on shoes without socks ,2019-02-16 16:20:56,MwansaChola92
22,11,0,1,"Watching #DateMyFamilyZambia & I don't like this girl eh... The guy has a job, no kids,  his friends are cool. Why is she so concerned about what he does and what his education status is? I don't like such....and she isn't drinking, at all...",2019-02-16 16:10:36,MwansaChola92
23,4,0,0,Finally watching  #datemyfamilyzambia,2019-02-16 06:10:10,rainmaker_linnn
24,1,0,0,Sarcastic futi! #datemyfamilyzambia,2019-02-16 06:05:15,agu1188
25,1,0,0,Or what happens if you bring a kopala onto #datemyfamilyzambia,2019-01-30 20:14:42,chabs_cc
26,0,0,0,Ok but he has hammered the meat. Those oily hands. How did I miss this episode #datemyfamilyzambia,2019-01-30 17:59:03,LinaLungu
27,4,0,1,By far best episode #datemyfamilyZambia pic.twitter.com/bEyPcABeUW,2019-01-28 11:40:26,LukumoS
28,0,0,0,Ba zed where can I watch #datemyfamilyZambia ?,2019-01-28 10:59:34,joeyroachy
29,2,0,0,"Always remember “If you drink Everything....it means you can DO anyone “
#Datemyfamilyzambia",2019-01-28 09:21:28,mubitayali
30,1,0,0,Mary's family on #DateMyFamilyZambia is a bomb  issa real Zambian family,2019-01-28 09:08:29,moses_tnp
31,1,0,2,"Breaking News: Next On #DateMyFamily Follow @YinksOfficial Download His Single https://www.datafilehost.com/d/3d1e0ffd 
#DateMyFamily #DAVIDO #datemyfamilyZambia #DateMyFamily queen #DateMyFamilypic.twitter.com/yQBfFwtk6P",2019-01-28 05:18:40,YinksOfficial
32,1,0,0,Just catching up on #datemyfamilyZambia and awe.,2019-01-27 19:03:04,muliowakela
33,0,0,0,"Yoh bally. Everyone is a 'Funti'...what is a funti
#DatemyfamilyZambia",2019-01-27 17:43:47,bsmbale
34,1,1,0,"Soooo photographer is code for media consultant, ok.
#DatemyfamilyZambia",2019-01-27 17:41:52,bsmbale
35,0,0,0,"Potential date #3 is no racist hmmm... Her statement after that sounded a bit racist though
#DatemyfamilyZambia",2019-01-27 17:40:08,bsmbale
36,0,0,0,"This Kennedy guy just made my Day. 
#AmunaWozunafromtheEast
#DatemyfamilyZambia.",2019-01-27 17:32:16,ElTommy12
37,1,2,0,I'm here for Mary #datemyfamilyZambia,2019-01-27 00:06:11,suechintu
38,2,0,0,#datemyfamilyZambia https://twitter.com/RobertoZambia/status/1087987464625684480 …,2019-01-26 23:38:55,suechintu
39,18,0,5,"Fact check 

After hearing that zed up will be left out slap pinned someone to the wall to add our own r will be performing in c in S. A ....
 That's was being genius and E responded sooner than expected now it's rise and shine.. 
Who made this 
#ZedTwitter #datemyfamilyZambia",2019-01-26 11:06:46,princesimus
40,1,1,0," I agree! At 38 you definately should be over that, its difficult to take a man who dresses like that seriously but you can still be diplomatic about how you say it. No need to offend if you don't have to #datemyfamilyZambia",2019-01-26 05:23:38,Idylic_Lonsome
41,1,1,0,@sunshinee_xox I’m packing a bag. It’s Thursday #datemyfamilyzambia,2019-03-13 22:00:39,american_sugah
42,0,0,0,Is it difficult for Medical students to date in Zambia?#DateMyFamilyZambia,2019-03-12 09:49:57,madammstainless
43,0,0,0,Just watched #DateMyFamilyZambia and wtf Zambian women are crazy,2019-03-11 17:04:57,WhitneyBisbal
44,1,0,0,"In the legendary words of that nigga on #DateMyFamilyZambia, ""you're a foreign angel""",2019-03-11 08:05:26,badlydrawndobs
45,0,0,0,#datemyfamilyZambia hai,2019-03-11 07:50:59,chahcharlie
46,0,0,0,Ouuutea bane #datemyfamilyZambia https://twitter.com/Duchess_october/status/1104365445816082433 …,2019-03-10 15:52:39,benjaminsiame1
47,0,1,0,"One person that thinks like I do. On a dating show you cant be bragging about temper, rudeness, sarcasm etc as i usually see on #DateMyFamilyZambia. But this girl went even further overboard.",2019-03-10 15:38:40,Patlups
48,1,0,0,I hope so coz if that was me #DateMyFamilyZambia is getting me new plates lol.,2019-03-10 06:32:55,JohnTembo1982
49,0,0,0,Just wondering why I've never seen anyone pray for their food on #datemyfamilyZambia,2019-03-10 01:54:24,Edward_Mwale
50,3,1,0,"""My names are Prudence Nyendwa, I'm 24. I'm a jovial person, moody. I love having fun. 

My temper just snaps.""

Total rubbish. Why are Zamhians now proud of stupid things? 

#DateMyFamilyZambia #ZambeziMagicTvhttps://twitter.com/Cho_Fave/status/1104074921184059393 …",2019-03-10 00:01:58,Patlups
51,3,1,2,"I can’t wait for this 
#DateMyFamilyZambia pic.twitter.com/PN9YZ1fbyN",2019-03-09 10:48:08,Cookie_Lioness
52,3,3,1,"Let's settle this ....we busy arguing with my cousin ... 
Is #DatemyfamilyZambia",2019-03-08 20:02:18,abylate20s
53,0,0,0,The way our ppl hav drama in #DateMyFamillySA I found my self sleeping watching  #datemyfamilyZambia,2019-03-08 18:00:45,Lesedi_savage
54,1,0,0,The #DateMyFamilyZambia driver looks so much like Yemba from #Zuba is he the one? ,2019-03-08 16:26:37,AnastasiaKasong
