,likes,replies,retweets,text,timestamp,user,time_date,date,time,hour,Sentiment,SentimentClass
0,0,0,0,the differences between #datemyfamilyzambia and #datemyfamilySA,2019-01-09 17:27:47,preciouschanda3,2019-01-09 17:27:47,2019-01-09,17:27:47,17,0.0,Neutral
1,2,1,0,She didn’t pick Mwayi?? Whaaaat?!!!! #DateMyFamilyZambia,2019-01-06 17:51:08,HoneyJewel9,2019-01-06 17:51:08,2019-01-06,17:51:08,17,0.0,Neutral
2,0,0,0,I still can't get over wow wow wow wow ...cute legs #datemyfamilyzambia,2019-01-06 17:13:10,lenganjiposts,2019-01-06 17:13:10,2019-01-06,17:13:10,17,0.1,Positive
3,0,0,0,Catching the repeat of #datemyfamilyZambia,2019-01-05 13:10:44,ToxiqOfficial,2019-01-05 13:10:44,2019-01-05,13:10:44,13,0.6,Positive
4,0,0,0,I am so over #DatemyFamilyZambia.The whole thing is just staged.its sooooo boring,2019-01-05 11:37:38,Kayjerom,2019-01-05 11:37:38,2019-01-05,11:37:38,11,-0.4,Negative
5,0,0,0,So I'm a Mum and I am basically lame and totally out of touch with the latest fashion. But...What is the lady from the second family wearing? #datemyfamilyZambia #Zambia,2019-01-05 06:37:56,Idylic_Lonsome,2019-01-05 06:37:56,2019-01-05,06:37:56,6,0.0,Neutral
6,0,0,0,"Ba Nathan ati ""you have missed out on a chance to get a banker in your life""  dude, you need more substance than this in your life #datemyfamilyZambia #Zambezimagic @zambezimagictv",2019-01-05 06:37:56,Idylic_Lonsome,2019-01-05 06:37:56,2019-01-05,06:37:56,6,0.5,Positive
7,8,1,0,I'm sorry this when I'm finally getting the chance to watch last week's episode of #Datemyfamilyzambia  mamama. Pineapple as a starter? Sweet potato leaves a cuisine? Rashous? Biscuits and juice for dessert wow ,2019-02-13 17:21:53,Happy_human21,2019-02-13 17:21:53,2019-02-13,17:21:53,17,-0.010000000000000004,Negative
8,5,1,1,In this economy the best you can do is stay home  watch #Zuba #Mpali #Datemyfamilyzambia  and #LusakaHustle  with your partner...,2019-02-13 11:27:32,katlegojakes,2019-02-13 11:27:32,2019-02-13,11:27:32,11,1.0,Positive
9,0,0,0,Shout out to Joe's honesty over his very own best friend and her inability to turn heads.. he's the real MVP! We actually got on quite well #datemyfamilyZambia #dmfzambia,2019-02-12 16:40:22,chabs_cc,2019-02-12 16:40:22,2019-02-12,16:40:22,16,0.5075000000000001,Positive
10,31,6,1,It's disconcerting how the suitors on #datemyfamilyZambia often specify their preference of skin complexion.,2019-02-11 20:23:13,JitoKayumba,2019-02-11 20:23:13,2019-02-11,20:23:13,20,0.0,Neutral
11,1,1,0,"Some Lusaka social scene faces in this Thursday's episode of #DateMyFamilyZambia. One of the best rated shows in Zambia. 

 pic.twitter.com/yIDp93oTSa",2019-02-11 17:36:58,jukeboxcadre,2019-02-11 17:36:58,2019-02-11,17:36:58,17,0.5166666666666667,Positive
12,4,1,2,@chucky_Beau ninshi #datemyfamilyZambia is your playground? Limbi ni Zambezi magic? Next we'll see you in Zuba as Thando long lost separated Siamese twin that Mr. Sosala had with another woman #ZubaS2StoryLinesBeLike https://twitter.com/Cho_Fave/status/1094958817207611392 …,2019-02-11 16:05:26,Mr_Nakalonga,2019-02-11 16:05:26,2019-02-11,16:05:26,16,0.15,Positive
13,2,1,2,@chucky_Beau I've seen your ass on the next episode of #DatemyfamilyZambia ,2019-02-11 15:30:07,oscar_on_fire,2019-02-11 15:30:07,2019-02-11,15:30:07,15,0.0,Neutral
14,0,0,0,"Martha the reason they didn't pick you is because of the makeup your frnds wearing chabula thought ni same whatsapp group with you
#datemyfamilyZambia",2019-02-11 09:43:13,SwikyDucci,2019-02-11 09:43:13,2019-02-11,09:43:13,9,0.0,Neutral
15,1,0,0,"Date my family Zambia presenter be like Tina is a 22year old drunkard 
#DateMyFamilyZambia",2019-02-11 09:40:48,SwikyDucci,2019-02-11 09:40:48,2019-02-11,09:40:48,9,0.1,Positive
16,0,0,0,"Hmmm ,  .  Those eyebrows #datemyfamilyZambia",2019-02-10 17:11:00,chiko_lu,2019-02-10 17:11:00,2019-02-10,17:11:00,17,0.0,Neutral
17,1,0,0,#datemyfamilyZambia is brilliant. The most authentically Zambian show on TV. A true caricature of Zambian culture with all its prejudices and flaws. It's an accidental masterpiece.,2019-02-10 15:46:34,mr_siame,2019-02-10 15:46:34,2019-02-10,15:46:34,15,0.5833333333333334,Positive
18,1,2,0,@chabs_cc I found you! I have so many questions to ask abt your #datemyfamilyzambia experience cc: @malamachief I found him! :p,2019-02-09 15:30:05,MwansaChola92,2019-02-09 15:30:05,2019-02-09,15:30:05,15,0.6875,Positive
19,1,0,0,We said grace before we cooked  #datemyfamilyZambia,2019-02-09 12:53:05,officialroyd,2019-02-09 12:53:05,2019-02-09,12:53:05,12,0.0,Neutral
20,0,0,0,Am i the only one who didn't tweet about  #datemyfamilyzambia smh,2019-02-09 06:18:09,amthejaycee,2019-02-09 06:18:09,2019-02-09,06:18:09,6,0.0,Neutral
21,0,0,0,Imwe Mary's family sure  ati na menshi ayakaba kusamba kuminwe. Umwaume mwaume  #datemyfamilyzambia,2019-01-24 23:58:20,ZakWakwaLesa,2019-01-24 23:58:20,2019-01-24,23:58:20,23,0.5,Positive
22,10,0,1,Best episode ever #DatemyfamilyZambia https://twitter.com/Peter_Kays/status/1088524246370930688 …,2019-01-24 23:16:06,Ba_Wiso,2019-01-24 23:16:06,2019-01-24,23:16:06,23,1.0,Positive
23,1,0,0,Am sure Mary's family made a party after he went cause all that food mmmm #DatemyfamilyZambia,2019-01-24 22:08:25,Chikwa18,2019-01-24 22:08:25,2019-01-24,22:08:25,22,0.5,Positive
24,1,1,0,"Issa mask 
#DateMyFamilyZambia https://twitter.com/MunyaradziMbita/status/1088532402513825796 …",2019-01-24 22:06:52,Afe_Jhugne,2019-01-24 22:06:52,2019-01-24,22:06:52,22,0.0,Neutral
25,1,1,0,"Randomly bursting out into laughter at the thought of Funti K & Mary's family dinner 
#DatemyfamilyZambia pic.twitter.com/gvQ2hvkjmV",2019-01-24 21:41:09,_Misozi,2019-01-24 21:41:09,2019-01-24,21:41:09,21,-0.5,Negative
26,2,0,0,I don't really consider myself to be a short people. #DatemyfamilyZambia #funtigang,2019-01-24 21:37:01,mr_garrit,2019-01-24 21:37:01,2019-01-24,21:37:01,21,0.1,Positive
27,0,0,0,Short guys are long somewhere. Funti why? #DatemyfamilyZambia #funtigang,2019-01-24 21:36:11,mr_garrit,2019-01-24 21:36:11,2019-01-24,21:36:11,21,-0.025,Negative
28,5,0,0,"and I quote “if you drink everything it means you can do anyone” Funti
#lessonlearnt 
#datemyfamilyZambia pic.twitter.com/RKB3ncuOHl",2019-01-24 21:34:56,BigSmallz7,2019-01-24 21:34:56,2019-01-24,21:34:56,21,0.0,Neutral
29,1,0,0,"You guys look like in the 27th...age 
#Kenquotes #DatemyfamilyZambia #funtigang",2019-01-24 21:26:00,mr_garrit,2019-01-24 21:26:00,2019-01-24,21:26:00,21,0.0,Neutral
30,2,0,0,#datemyfamilyzambia pic.twitter.com/4Zq22B6gyI,2019-01-24 21:20:43,miles_kasanda,2019-01-24 21:20:43,2019-01-24,21:20:43,21,0.0,Neutral
31,1,0,0,“If you drink everything it means you can do anyone” wow #DateMyFamilyZambia,2019-01-24 21:17:54,zxndile_09,2019-01-24 21:17:54,2019-01-24,21:17:54,21,0.1,Positive
